year,month,day,hour,NCP kW,CP kW,kWh
2018,2,1,2,3648,,
2018,2,1,3,3576,,
2018,2,1,4,3552,,
2018,2,1,5,3720,,
2018,2,1,6,4224,,
2018,2,1,7,4896,,
2018,2,1,8,4896,,
2018,2,1,9,4752,,
2018,2,1,10,4488,,
2018,2,1,11,4320,,
2018,2,1,12,4272,,
2018,2,1,13,4128,,
2018,2,1,14,3864,,
2018,2,1,15,3888,,
2018,2,1,16,3792,,
2018,2,1,17,3768,,
2018,2,1,18,3936,,
2018,2,1,19,4104,,
2018,2,1,20,4272,,
2018,2,1,21,4080,,
2018,2,1,22,4056,,
2018,2,1,23,3744,,
2018,2,1,24,3480,,
2018,2,2,1,3216,,
2018,2,2,2,3072,,
2018,2,2,3,3144,,
2018,2,2,4,3240,,
2018,2,2,5,3264,,
2018,2,2,6,3528,,
2018,2,2,7,4224,,
2018,2,2,8,4440,,
2018,2,2,9,4392,,
2018,2,2,10,4344,,
2018,2,2,11,4440,,
2018,2,2,12,4392,,
2018,2,2,13,4224,,
2018,2,2,14,4104,,
2018,2,2,15,4128,,
2018,2,2,16,4296,,
2018,2,2,17,4416,,
2018,2,2,18,4536,,
2018,2,2,19,4896,,
2018,2,2,20,4800,,
2018,2,2,21,4824,,
2018,2,2,22,4896,,
2018,2,2,23,4608,,
2018,2,2,24,4632,,
2018,2,3,1,4512,,
2018,2,3,2,4320,,
2018,2,3,3,4128,,
2018,2,3,4,4224,,
2018,2,3,5,4152,,
2018,2,3,6,4248,,
2018,2,3,7,4368,,
2018,2,3,8,4296,,
2018,2,3,9,4296,,
2018,2,3,10,4128,,
2018,2,3,11,3960,,
2018,2,3,12,3696,,
2018,2,3,13,3480,,
2018,2,3,14,3360,,
2018,2,3,15,3264,,
2018,2,3,16,3144,,
2018,2,3,17,3264,,
2018,2,3,18,3432,,
2018,2,3,19,3768,,
2018,2,3,20,3864,,
2018,2,3,21,3840,,
2018,2,3,22,3768,,
2018,2,3,23,3672,,
2018,2,3,24,3576,,
2018,2,4,1,3360,,
2018,2,4,2,3360,,
2018,2,4,3,3336,,
2018,2,4,4,3312,,
2018,2,4,5,3336,,
2018,2,4,6,3480,,
2018,2,4,7,3624,,
2018,2,4,8,3672,,
2018,2,4,9,3720,,
2018,2,4,10,3528,,
2018,2,4,11,3288,,
2018,2,4,12,3144,,
2018,2,4,13,3096,,
2018,2,4,14,3024,,
2018,2,4,15,2976,,
2018,2,4,16,2976,,
2018,2,4,17,2928,,
2018,2,4,18,3000,,
2018,2,4,19,3120,,
2018,2,4,20,3192,,
2018,2,4,21,3216,,
2018,2,4,22,3144,,
2018,2,4,23,3096,,
2018,2,4,24,3072,,
2018,2,5,1,2928,,
2018,2,5,2,2928,,
2018,2,5,3,3000,,
2018,2,5,4,3024,,
2018,2,5,5,3240,,
2018,2,5,6,3624,,
2018,2,5,7,3984,,
2018,2,5,8,3864,,
2018,2,5,9,3600,,
2018,2,5,10,3456,,
2018,2,5,11,3360,,
2018,2,5,12,3240,,
2018,2,5,13,3264,,
2018,2,5,14,3288,,
2018,2,5,15,3168,,
2018,2,5,16,3216,,
2018,2,5,17,3288,,
2018,2,5,18,3288,,
2018,2,5,19,3552,,
2018,2,5,20,3720,,
2018,2,5,21,3768,,
2018,2,5,22,3768,,
2018,2,5,23,3648,,
2018,2,5,24,3504,,
2018,2,6,1,3480,,
2018,2,6,2,3504,,
2018,2,6,3,3480,,
2018,2,6,4,3504,,
2018,2,6,5,3912,,
2018,2,6,6,4272,,
2018,2,6,7,4968,,
2018,2,6,8,4872,,
2018,2,6,9,4800,,
2018,2,6,10,4632,,
2018,2,6,11,4896,,
2018,2,6,12,4728,,
2018,2,6,13,3888,,
2018,2,6,14,4272,,
2018,2,6,15,4512,,
2018,2,6,16,3912,,
2018,2,6,17,3888,,
2018,2,6,18,3984,,
2018,2,6,19,4224,,
2018,2,6,20,4200,,
2018,2,6,21,4104,,
2018,2,6,22,4200,,
2018,2,6,23,3960,,
2018,2,6,24,3888,,
2018,2,7,1,3648,,
2018,2,7,2,3504,,
2018,2,7,3,3264,,
2018,2,7,4,3216,,
2018,2,7,5,3264,,
2018,2,7,6,3600,,
2018,2,7,7,4008,,
2018,2,7,8,4200,,
2018,2,7,9,4320,,
2018,2,7,10,4032,,
2018,2,7,11,3816,,
2018,2,7,12,3840,,
2018,2,7,13,3816,,
2018,2,7,14,3624,,
2018,2,7,15,3528,,
2018,2,7,16,3648,,
2018,2,7,17,3600,,
2018,2,7,18,3648,,
2018,2,7,19,3840,,
2018,2,7,20,3888,,
2018,2,7,21,3912,,
2018,2,7,22,3864,,
2018,2,7,23,3744,,
2018,2,7,24,3528,,
2018,2,8,1,3384,,
2018,2,8,2,3264,,
2018,2,8,3,3312,,
